Tweet_lemmatized
"['oscarthegrouch', 'love']"
"['oscarthegrouch', 'edit', 'button']"
"['oscarthegrouch', 'pineapple', 'pizza']"
"['hey', 'oscarthegrouch', 'think', '']"
"['tested', 'tweeted', 'we’re', 'rolling', 'everyone', 'httpstcowqqdikz']"
"['busralcinar', 'nasa', 'love', 'mar', 'back', 'httpstcozppyyk']"
"['octaviaspencer', 'need', 'adrenaline', 'httpstcohxhilteh']"
"['astrotoya', 'solarrsystem', 'uh', 'course', 'httpstcouhuilgkb']"
"['nasapersevere', 'nasa', 'send', 'pic', 'check', 'often', 'make', 'work']"
"['rocketjoy', 'got', 'right', 'stuff', 'httpstcoyznzndpic']"
"['kazba', 'httpstcovbslsgea']"
"['solarrsystem', 'keep', 'awake', 'httpstcovypvjknk']"
"['arshitasingh', 'let', 'blast', 'httpstcoxssweebsv']"
"['asherplangnan', 'httpstcosdkfgylvb']"
"['mariannemaexcxc', 'bring', 'bts', 'martian', 'httpstcozyecbwolmu']"
"['thismarcelo', 'gaga', 'say', 'suit', 'little', 'monster', 'httpstcohmemjnvk']"
"['kaitlynnraecook', 'let', 'u', 'know', 'there', 'life', 'mar', 'httpstcoggwnlhn']"
"['niaorea', 'sleep', 'flight', 'httpstcoanepnwmmg']"
"['nasa', 'nasapersevere', 'second', 'thought', 'seven', 'month', 'long', 'time', 'kinda', 'met', 'keep', 'touch']"
"['astrojaws', 'maejemison', 'nasapersevere', 'excited', 'watch', 'timeand', 'maybe', 'watch', 'liftoff', 'next', 'time']"
"['nasa', 'nasapersevere', 'got', 'enough', 'joke', 'last', 'seven', 'month']"
"['maejemison', 'astrojaws', 'earth', 'coffee', 'compare', 'space', 'coffee']"
"['nasa', 'nasapersevere', 'window', 'aisle', 'ride', 'middle', 'long']"
"['ladyboss', 'taking', 'httpstcomqyqqxfvu']"
"['take', 'u', 'nasapersevere']"
"['anannyauberoi', 'girl', 'went', 'break', 'never', 'came', 'back', 'httpstcoljnlokii']"
"['rajamali', 'welcome', 'goodbye', 'countdowntomars', 'httpstcovdjkmino']"
"['jaalaleisw', 'blast', 'httpstcozgctvzfa']"
"['wambugu', 'going', 'need', 'httpstcowiuolhd']"
"['shadab', 'okay', 'hope', 'like', 'mar', 'httpstcovonodaaxk']"
"['nasapersevere', 'long', 'decide']"
"['theharshitgaur', 'ready', 'space', 'vocab', 'countdowntomars', 'httpstcotifrr']"
"['shellmithmutho', 'profile', 'pic', 'boarding', 'pas', 'countdowntomars', 'httpstcolzbcwajnym']"
"['iamdrumil', 'first', 'mission', 'change', 'profile', 'httpstcodgjaudz']"
"['mxgabichi', 'sing', 'u', 'sky', 'httpstcolrgukalwh']"
"['msrachel', 'brisk', '', 'degree', 'httpstcotgbeewxm']"
"['tugbabodrumlu', 'yes', 'countdowntomars', 'httpstcokaarmrlxpt']"
"['oxygenpony', 'hand', 'must', 'remain', 'rocket', 'time', 'httpstcofykdqmwlp']"
"['crgp', 'weeeeeeeee', 'countdowntomars', 'httpstcojplwexzzcx']"
"['dezzanavarro', 'here', 'profile', 'pic', 'space', 'suit', 'httpstcojvolljhuam']"
"['nikorainbow', 'legend', 'mar', 'httpstcoulsxzwqax']"
"['anilyangin', 'loud', 'want', 'there', 'literally', 'one', 'else', 'marsmaybe', 'httpstcogxrdhvd']"
"['giovannatakai', 'heard', 'rocket', 'science', '', 'good', 'starting', 'point']"
"['eaglescat', 'orbit', 'httpstcojklkkybgp']"
"['alexduggan', 'selected', 'countdowntomars', 'httpstcocpuiksulw']"
"['beebee', 'byeeeee', 'countdowntomars', 'httpstcoebvwdsudh']"
"['tmntr', 'change', 'profile', 'pic', 'way', 'httpstcotixvxhvj']"
"['halderankita', 'rock', 'httpstcohrbpfohd']"
"['maejemison', 'meow', 'countdowntomars', 'httpstcolhnybxfcu']"
"['dhiyakussial', 'suited', 'ready', 'launch', 'httpstcocdrmsxbidi']"
"['sbartelt', 'fasten', 'seatbelt', 'update', 'profile', 'pic', 'httpstcobqytjzhjy']"
"['jayvirdee', 'shoot', 'moon', 'land', 'mar', 'httpstcoeojekvrgi']"
"['symplymma', 'mar', 'closer', 'like', 'httpstcobtkngeu']"
"['ncgriz', 'guy', 'going', 'mar', 'httpstconmmgcwfwj']"
"['emmalinejsmith', 'okay', 'ready', 'httpstcokrlkxfgrx']"
"['iiiiiitsabi', 'mar', 'haha', 'jk', 'unless', 'httpstcosbsekpf']"
"['astrojaws', 'made', 'vision', 'board', 'countdowntomars', 'httpstcoihzbaw']"
"['synstyxx', 'asked', 'nicely', 'httpstcorhkektk']"
"['regeneratedarts', 'saved', 'seat', 'made', 'profile', 'pic', 'let', 'goooooo', 'httpstcojecjbjef']"
"['michellcclark', 'mar', 'population', 'httpstcoxoktsfzft']"
"['arroncrascall', 'errrm', 'httpstconeqjtjj']"
"['giovannatakai', 'okay', 'first', 'make', 'profile', 'pic', 'httpstcojyjfkfv']"
"['oba', 'mar', 'sound', 'httpstcocvuecurd']"
"['awesleyrogers', 'launch', 'countdowntomars', 'httpstcouedunooey']"
"['happylozza', 'sure', 'seaside', 'mar', 'check', 'box', 'httpstcomrvrtducvu']"
"['omopobimbo', 'pack', 'bag', 'leave', 'tomorrow', 'countdowntomars', 'httpstcoslrzozsh']"
"['want', 'transported', 'planet']"
"['like', 'liftoff', 'countdowntomars', 'httpstcoylephfy']"
"['rt', 'twittersupport', 'may', 'unable', 'tweet', 'reset', 'password', 'review', 'address', 'incident']"
"['slide', 'dm', 'without', 'clicking', 'away', 'timeline\n\nrolling', 'web', 'httpstcobdaeyoypu']"
"['edit', 'button', 'everyone', 'wear', 'mask']"
"['nasasocial', 'good', 'news']"
"['chefszn', 'like', 'game']"
"['ericgagliardi', '']"
"['imbalamurugan', 'six', 'month']"
"['good', 'news', 'bad', 'news', '\n\n', 'half']"
"['📍', 'oakland\n🗣️', 'yolizama', 'httpstcolcgdlzajin']"
"['📍', 'york', 'city\n🗣️', 'afrikkana', 'httpstcotefspxu']"
"['📍', 'chicago\n🗣️', 'joshuakissi', 'httpstcozedxvjubx']"
"['📍', 'philadelphia\n🗣️', 'imanibarbarin', 'httpstcozrduipsu']"
"['📍', 'louisville\n🗣️', 'itsbarrrrett', 'httpstcovkvdeuaqb']"
"['📍', 'atlanta\n🗣️', 'berniceking', 'httpstcoupyvnwis']"
